实际距离(m),测量距离(m)
1.200,2.300
1.200,2.300
1.200,2.300
1.200,2.300
1.200,2.300
1.200,2.290
1.200,2.290
1.200,2.290
1.200,2.290
1.200,2.290
1.200,2.290
1.200,2.290
1.200,2.290
1.200,2.290
1.200,2.290
1.200,2.290
1.200,2.290
1.200,2.290
1.200,2.290
1.200,2.290
1.800,2.870
1.800,2.870
1.800,2.880
1.800,2.880
1.800,2.890
1.800,2.890
1.800,2.900
1.800,2.900
1.800,2.910
1.800,2.910
1.800,2.910
1.800,2.910
1.800,2.920
1.800,2.920
1.800,2.930
1.800,2.930
1.800,2.930
1.800,2.930
1.800,2.940
1.800,2.940
2.400,3.420
2.400,3.430
2.400,3.430
2.400,3.430
2.400,3.430
2.400,3.440
2.400,3.440
2.400,3.440
2.400,3.450
2.400,3.450
2.400,3.460
2.400,3.460
2.400,3.470
2.400,3.470
2.400,3.480
2.400,3.480
2.400,3.490
2.400,3.490
2.400,3.500
2.400,3.500
3.000,4.200
3.000,4.200
3.000,4.200
3.000,4.200
3.000,4.200
3.000,4.200
3.000,4.200
3.000,4.200
3.000,4.200
3.000,4.200
3.000,4.200
3.000,4.200
3.000,4.200
3.000,4.210
3.000,4.210
3.000,4.210
3.000,4.210
3.000,4.210
3.000,4.210
3.000,4.210
3.600,5.020
3.600,5.020
3.600,5.020
3.600,5.020
3.600,5.020
3.600,5.020
3.600,5.020
3.600,5.020
3.600,5.020
3.600,5.020
3.600,5.020
3.600,5.020
3.600,5.020
3.600,5.020
3.600,5.020
3.600,5.020
3.600,5.010
3.600,5.010
3.600,5.000
3.600,5.000
4.200,5.310
4.200,5.310
4.200,5.310
4.200,5.310
4.200,5.310
4.200,5.310
4.200,5.310
4.200,5.310
4.200,5.310
4.200,5.310
4.200,5.310
4.200,5.310
4.200,5.310
4.200,5.310
4.200,5.310
4.200,5.310
4.200,5.310
4.200,5.310
4.200,5.310
4.200,5.310
4.800,5.880
4.800,5.880
4.800,5.880
4.800,5.880
4.800,5.880
4.800,5.880
4.800,5.890
4.800,5.890
4.800,5.890
4.800,5.890
4.800,5.890
4.800,5.890
4.800,5.890
4.800,5.890
4.800,5.890
4.800,5.890
4.800,5.890
4.800,5.890
4.800,5.890
4.800,5.890
5.400,6.480
5.400,6.490
5.400,6.490
5.400,6.500
5.400,6.500
5.400,6.500
5.400,6.500
5.400,6.510
5.400,6.510
5.400,6.520
5.400,6.520
5.400,6.520
5.400,6.520
5.400,6.520
5.400,6.520
5.400,6.520
5.400,6.520
5.400,6.520
5.400,6.520
5.400,6.520
6.000,7.150
6.000,7.150
6.000,7.150
6.000,7.150
6.000,7.150
6.000,7.150
6.000,7.150
6.000,7.150
6.000,7.150
6.000,7.150
6.000,7.150
6.000,7.150
6.000,7.150
6.000,7.150
6.000,7.150
6.000,7.150
6.000,7.150
6.000,7.150
6.000,7.150
6.000,7.150
6.600,7.690
6.600,7.690
6.600,7.690
6.600,7.690
6.600,7.690
6.600,7.690
6.600,7.700
6.600,7.700
6.600,7.700
6.600,7.700
6.600,7.710
6.600,7.710
6.600,7.710
6.600,7.710
6.600,7.710
6.600,7.710
6.600,7.710
6.600,7.710
6.600,7.710
6.600,7.710
7.200,8.350
7.200,8.350
7.200,8.370
7.200,8.370
7.200,8.380
7.200,8.380
7.200,8.390
7.200,8.390
7.200,8.400
7.200,8.400
7.200,8.410
7.200,8.410
7.200,8.420
7.200,8.420
7.200,8.420
7.200,8.430
7.200,8.430
7.200,8.440
7.200,8.440
7.200,8.450
